customer_id,Anomaly Occurrences,Anomaly Datasets,country,province,city,industry_code,employee_count,sales,established_date,onboard_date
SYNCID0000000795,2,"eft, wire",CA,AB,MORINVILLE,7771,3.0,2296729.0,2000-10-21,2000-10-27
SYNCID0000000891,3,"card, cheque, wire",CA,ON,AURORA,7215,0.0,0.0,2016-01-02,2016-02-21
SYNCID0000000051,2,"eft, abm",CA,ON,WATERLOO,4013,3.0,117153.0,2014-01-29,2014-05-03
SYNCID0000000065,3,"card, eft, abm",CA,ON,WASAGA BEACH,6121,6.0,0.0,2020-10-21,2020-12-15
SYNCID0000000067,3,"emt, card, abm",CA,ON,OTTAWA,6231,6.0,734149.0,,2006-12-22
SYNCID0000000198,3,"emt, cheque, abm",CA,SK,OUTLOOK,9639,1.0,122569.0,2013-06-13,2013-09-19
SYNCID0000000213,2,"cheque, abm",CA,QC,SAINT-JEROME,4013,,0.0,2023-12-11,2023-12-21
SYNCID0000000260,3,"emt, eft, abm",CA,ON,CARLETON PLACE,4219,,0.0,2023-03-15,
SYNCID0000000265,2,"eft, abm",CA,ON,GEORGETOWN,6031,1.0,3543852.0,2006-06-06,2016-07-10
SYNCID0000000291,2,"eft, abm",CA,,other,9631,10.0,1456493.0,2015-01-16,2018-10-27
SYNCID0000000313,3,"emt, cheque, abm",CA,,other,7292,,0.0,2023-02-04,2023-10-18
SYNCID0000000519,2,"eft, abm",CA,,other,4277,1.0,82859.0,,2018-12-03
SYNCID0000000601,2,"eft, abm",CA,NS,HALIFAX,4411,3.0,0.0,2023-07-15,
SYNCID0000000805,2,"cheque, abm",CA,ON,GODERICH,9999,2.0,1.0,2020-05-15,
SYNCID0000000841,2,"card, abm",CA,ON,RICHMOND HILL,8651,0.0,0.0,,
SYNCID0000000851,2,"eft, abm",CA,NB,SAINT JOHN,4275,1.0,0.0,,2012-05-20
SYNCID0000000866,3,"card, eft, abm",CA,ON,BELLEVILLE,7761,1.0,0.0,2023-11-19,2023-12-22
SYNCID0000000868,2,"eft, abm",CA,,other,other,2.0,724112.0,2007-11-04,2007-11-10
SYNCID0000000890,3,"emt, card, abm",CA,ON,NEPEAN,7761,2.0,275353.0,,2013-08-03
SYNCID0000000959,2,"cheque, abm",CA,AB,CALGARY,9611,2.0,1.0,2020-08-07,2023-01-21
SYNCID0000000996,2,"card, abm",CA,ON,DUNDAS,9642,1.0,25914.0,2005-05-01,2005-06-05
SYNCID0000001018,2,"cheque, abm",CA,ON,BARRIE,7759,1.0,0.0,2023-09-26,
