Customer ID,Anomaly Occurrences,Anomaly Datasets
SYNCID0000000795,2,"eft, wire"
SYNCID0000000891,3,"card, cheque, wire"
SYNCID0000000051,2,"eft, abm"
SYNCID0000000065,3,"card, eft, abm"
SYNCID0000000067,3,"emt, card, abm"
SYNCID0000000198,3,"emt, cheque, abm"
SYNCID0000000213,2,"cheque, abm"
SYNCID0000000260,3,"emt, eft, abm"
SYNCID0000000265,2,"eft, abm"
SYNCID0000000291,2,"eft, abm"
SYNCID0000000313,3,"emt, cheque, abm"
SYNCID0000000519,2,"eft, abm"
SYNCID0000000601,2,"eft, abm"
SYNCID0000000805,2,"cheque, abm"
SYNCID0000000841,2,"card, abm"
SYNCID0000000851,2,"eft, abm"
SYNCID0000000866,3,"card, eft, abm"
SYNCID0000000868,2,"eft, abm"
SYNCID0000000890,3,"emt, card, abm"
SYNCID0000000959,2,"cheque, abm"
SYNCID0000000996,2,"card, abm"
SYNCID0000001018,2,"cheque, abm"
SYNCID0000001046,3,"cheque, eft, abm"
SYNCID0000001049,2,"card, abm"
SYNCID0000001085,2,"eft, abm"
SYNCID0000001099,2,"eft, abm"
SYNCID0000001193,2,"eft, abm"
SYNCID0000001202,2,"card, abm"
SYNCID0000001326,2,"emt, abm"
SYNCID0000001574,2,"emt, abm"
SYNCID0000001743,2,"emt, abm"
SYNCID0000000016,2,"cheque, eft"
SYNCID0000000071,2,"cheque, eft"
SYNCID0000000094,3,"emt, cheque, card"
SYNCID0000000117,2,"emt, cheque"
SYNCID0000000127,2,"card, cheque"
SYNCID0000000140,2,"emt, cheque"
SYNCID0000000205,2,"cheque, eft"
SYNCID0000000221,3,"emt, cheque, card"
SYNCID0000000241,2,"card, cheque"
SYNCID0000000247,2,"cheque, eft"
SYNCID0000000281,2,"cheque, eft"
SYNCID0000000288,2,"emt, cheque"
SYNCID0000000309,2,"card, cheque"
SYNCID0000000310,2,"card, cheque"
SYNCID0000000326,2,"cheque, eft"
SYNCID0000000340,2,"card, cheque"
SYNCID0000000355,2,"cheque, eft"
SYNCID0000000385,2,"emt, cheque"
SYNCID0000000386,3,"emt, cheque, eft"
SYNCID0000000413,2,"emt, cheque"
SYNCID0000000460,2,"emt, cheque"
SYNCID0000000487,3,"emt, cheque, card"
SYNCID0000000496,2,"emt, cheque"
SYNCID0000000616,3,"card, cheque, eft"
SYNCID0000000668,2,"card, cheque"
SYNCID0000000676,3,"card, cheque, eft"
SYNCID0000000716,2,"card, cheque"
SYNCID0000000776,2,"cheque, eft"
SYNCID0000000860,3,"emt, cheque, eft"
SYNCID0000000919,2,"cheque, eft"
SYNCID0000000932,2,"cheque, eft"
SYNCID0000000937,2,"cheque, eft"
SYNCID0000000991,3,"card, cheque, eft"
SYNCID0000001007,2,"card, cheque"
SYNCID0000001009,2,"cheque, eft"
SYNCID0000001019,2,"cheque, eft"
SYNCID0000001050,3,"card, cheque, eft"
SYNCID0000001059,4,"emt, cheque, eft, card"
SYNCID0000001066,2,"card, cheque"
SYNCID0000001077,3,"card, cheque, eft"
SYNCID0000001083,2,"cheque, eft"
SYNCID0000001088,2,"emt, cheque"
SYNCID0000001119,2,"cheque, eft"
SYNCID0000001175,2,"cheque, eft"
SYNCID0000001255,2,"card, cheque"
SYNCID0000001264,2,"cheque, eft"
SYNCID0000001343,2,"card, cheque"
SYNCID0000001364,2,"card, cheque"
SYNCID0000001382,2,"card, cheque"
SYNCID0000001436,2,"card, cheque"
SYNCID0000001438,2,"emt, cheque"
SYNCID0000001443,2,"card, cheque"
SYNCID0000001464,2,"emt, cheque"
SYNCID0000000011,2,"card, eft"
SYNCID0000000019,2,"card, eft"
SYNCID0000000056,2,"card, eft"
SYNCID0000000076,2,"card, eft"
SYNCID0000000083,3,"emt, card, eft"
SYNCID0000000099,2,"emt, eft"
SYNCID0000000113,2,"emt, eft"
SYNCID0000000124,2,"emt, eft"
SYNCID0000000182,2,"emt, eft"
SYNCID0000000256,2,"card, eft"
SYNCID0000000273,2,"emt, eft"
SYNCID0000000294,2,"card, eft"
SYNCID0000000383,3,"emt, card, eft"
SYNCID0000000448,3,"emt, card, eft"
SYNCID0000000551,2,"emt, eft"
SYNCID0000000569,3,"emt, card, eft"
SYNCID0000000638,2,"card, eft"
SYNCID0000000814,2,"emt, eft"
SYNCID0000000839,2,"emt, eft"
SYNCID0000000843,2,"emt, eft"
SYNCID0000000900,2,"emt, eft"
SYNCID0000000940,2,"card, eft"
SYNCID0000000992,2,"card, eft"
SYNCID0000001045,2,"card, eft"
SYNCID0000001064,2,"card, eft"
SYNCID0000001086,2,"emt, eft"
SYNCID0000001113,2,"card, eft"
SYNCID0000001163,2,"card, eft"
SYNCID0000001192,2,"card, eft"
SYNCID0000001241,2,"emt, eft"
SYNCID0000001256,2,"card, eft"
SYNCID0000000116,2,"emt, card"
SYNCID0000000165,2,"emt, card"
SYNCID0000000312,2,"emt, card"
SYNCID0000000352,2,"emt, card"
SYNCID0000000394,2,"emt, card"
SYNCID0000000480,2,"emt, card"
SYNCID0000001039,2,"emt, card"
SYNCID0000001152,2,"emt, card"
SYNCID0000001206,2,"emt, card"
SYNCID0000001245,2,"emt, card"
SYNCID0000001442,2,"emt, card"
