industry_code,count,percentage
7761,23,14.47
7771,18,11.32
other,16,10.06
7759,9,5.66
7215,7,4.4
4013,6,3.77
4561,5,3.14
8651,3,1.89
9631,3,1.89
8653,3,1.89
6031,3,1.89
4275,2,1.26
7611,2,1.26
7749,2,1.26
0919,2,1.26
7739,2,1.26
9712,2,1.26
6521,2,1.26
4839,2,1.26
4581,1,0.63
4023,1,0.63
4999,1,0.63
8132,1,0.63
1699,1,0.63
9953,1,0.63
5622,1,0.63
7214,1,0.63
6312,1,0.63
5231,1,0.63
6351,1,0.63
8652,1,0.63
6331,1,0.63
9861,1,0.63
4931,1,0.63
9999,1,0.63
7752,1,0.63
0311,1,0.63
4021,1,0.63
8666,1,0.63
9799,1,0.63
7799,1,0.63
4569,1,0.63
5919,1,0.63
9949,1,0.63
4799,1,0.63
4129,1,0.63
2819,1,0.63
6921,1,0.63
5219,1,0.63
6581,1,0.63
4011,1,0.63
0119,1,0.63
4219,1,0.63
8669,1,0.63
5981,1,0.63
4842,1,0.63
7721,1,0.63
4274,1,0.63
7751,1,0.63
4119,1,0.63
0129,1,0.63
4261,1,0.63
9942,1,0.63
7731,1,0.63
0141,1,0.63
0211,1,0.63
